Mon Jan 22 16:27:20 CET 2018 :  Beginning of Experiment f05_5AGCMs_NA_SPG
Sat Feb 03 16:13:16 CET 2018 :  92 18660301 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 16:13:16 CET 2018 :  93 18660301 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 16:22:55 CET 2018 :  93 18660401 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 16:22:56 CET 2018 :  94 18660401 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 16:32:27 CET 2018 :  94 18660501 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 16:32:27 CET 2018 :  95 18660501 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 16:42:02 CET 2018 :  95 18660601 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 16:42:02 CET 2018 :  96 18660601 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 16:51:22 CET 2018 :  96 18660701 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 16:51:22 CET 2018 :  97 18660701 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 17:01:09 CET 2018 :  97 18660801 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 17:01:09 CET 2018 :  98 18660801 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 17:10:50 CET 2018 :  98 18660901 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 17:10:51 CET 2018 :  99 18660901 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 17:20:13 CET 2018 :  99 18661001 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 17:20:13 CET 2018 :  100 18661001 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 21:17:17 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 21:26:57 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 21:26:57 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 21:36:27 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 21:36:28 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 21:46:12 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 21:46:12 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 21:55:49 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 21:55:49 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 22:05:26 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 22:05:27 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
