Wed Nov 08 09:49:05 CET 2017 :  Beginning of Experiment f01_echam6_amip_T63
Mon Feb 05 18:16:43 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 18:35:20 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 18:54:06 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 19:12:47 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 19:31:23 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 19:50:02 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 20:08:47 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 20:27:07 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 20:45:43 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 21:04:18 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 21:22:32 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 21:41:18 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 22:00:09 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 22:18:56 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 22:37:28 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 22:56:00 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 23:14:43 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 23:33:38 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 23:52:33 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 00:11:00 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 00:29:46 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 00:48:36 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 01:07:10 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 01:25:48 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 01:44:41 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 02:02:50 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 02:21:26 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 02:40:11 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 02:59:00 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 03:17:36 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 03:36:38 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 03:55:24 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 04:14:04 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 04:32:37 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 04:51:03 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 05:09:16 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 05:27:32 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 05:45:49 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 06:04:18 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 06:22:43 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 06:41:19 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 07:00:08 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 07:18:38 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 07:37:27 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 07:56:07 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 08:14:37 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 08:33:29 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 08:51:56 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 09:10:09 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
